``abs()``,``delattr()``,``hash()``,``memoryview()``,``set()``
``all()``,``dict()``,``help()``,``min()``,``setattr()``
``any()``,``any()``,``hex()``,``next()``,``slice()``
``ascii()``,``divmod()``,``id()``,``object()``,``sorted()``
``bin()``,``enumerate()``,``input()``,``oct()``,``staticmethod()``
``bool()``,``eval()``,``int()``,``open()``,``str()``
``breakpoint()``,``exec()``,``isinstance()``,``ord()``,``sum()``
``bytearray()``,``filter()``,``issubclass()``,``pow()``,``super()``
``bytes()``,``float()``,``iter()``,``print()``,``tuple()``
``callable()``,``format()``,``len()``,``property()``,``type()``
``chr()``,``frozenset()``,``list()``,``range()``,``vars()``
``classmethod()``,``getattr()``,``locals()``,``repr()``,``zip()``
``compile()``,``globals()``,``map()``,``reversed()``,``__import__()``
``complex()``,``hasattr()``,``max()``,``round()``
