,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
0,Travis Knight,LAL,22.0,213.36,106.59411999999999,Connecticut,USA,1996,1,29,71,4.8,4.5,0.5,6.2,0.127,0.182,0.142,0.536,0.052000000000000005,1996-97
1,Matt Fish,MIA,27.0,210.82,106.59411999999999,North Carolina-Wilmington,USA,1992,2,50,6,0.3,0.8,0.0,-15.1,0.14300000000000002,0.267,0.265,0.33299999999999996,0.0,1996-97
2,Matt Bullard,HOU,30.0,208.28,106.59411999999999,Iowa,USA,Undrafted,Undrafted,Undrafted,71,4.5,1.6,0.9,0.9,0.016,0.115,0.151,0.535,0.099,1996-97
3,Marty Conlon,BOS,29.0,210.82,111.13004,Providence,USA,Undrafted,Undrafted,Undrafted,74,7.8,4.4,1.4,-9.0,0.083,0.152,0.16699999999999998,0.542,0.10099999999999999,1996-97
4,Martin Muursepp,DAL,22.0,205.74,106.59411999999999,None,USA,1996,1,25,42,3.7,1.6,0.5,-14.5,0.109,0.11800000000000001,0.233,0.48200000000000004,0.114,1996-97
5,Martin Lewis,TOR,22.0,198.12,102.0582,Seward County Community College,USA,1995,2,50,9,1.6,0.7,0.4,-3.5,0.087,0.045,0.135,0.47,0.125,1996-97
6,Mark West,CLE,36.0,208.28,111.58363200000001,Old Dominion,USA,1983,2,30,70,3.2,2.7,0.3,3.5,0.092,0.146,0.13699999999999998,0.555,0.034,1996-97
7,Mark Strickland,MIA,26.0,208.28,99.79024,Temple,USA,Undrafted,Undrafted,Undrafted,31,2.0,1.2,0.0,-17.1,0.109,0.152,0.23199999999999998,0.44799999999999995,0.013000000000000001,1996-97
8,Mark Price,GSW,33.0,182.88,81.64656,Georgia Tech,USA,1986,2,25,70,11.3,2.6,4.9,-3.1,0.023,0.08800000000000001,0.192,0.597,0.289,1996-97
9,Mark Jackson,IND,32.0,190.5,83.91452,St. John's (NY),USA,1987,1,18,82,9.9,4.8,11.4,-2.0,0.035,0.11599999999999999,0.155,0.525,0.46399999999999997,1996-97
10,Mark Hendrickson,PHI,23.0,205.74,99.79024,Washington State,USA,1996,2,31,29,2.9,3.2,0.1,-5.1,0.113,0.201,0.133,0.48100000000000004,0.013999999999999999,1996-97
11,Mark Davis,PHI,24.0,200.66,95.25432,Texas Tech,USA,1995,2,48,75,8.5,4.3,1.8,-7.4,0.086,0.122,0.177,0.525,0.125,1996-97
12,Mark Bryant,PHX,32.0,205.74,111.13004,Seton Hall,USA,1988,1,21,41,9.3,5.2,1.1,3.3,0.084,0.18600000000000003,0.16699999999999998,0.589,0.07200000000000001,1996-97
13,Mark Bradtke,PHI,28.0,208.28,120.20188,None,USA,Undrafted,Undrafted,Undrafted,36,1.6,1.9,0.2,0.9,0.107,0.17600000000000002,0.11800000000000001,0.46299999999999997,0.043,1996-97
