Fecha,MWh
2021-01-02,48.72
2021-01-03,46.93
2021-01-04,59.85
2021-01-05,67.55
2021-01-06,70.6
2021-01-07,88.93
2021-01-08,94.99
2021-01-09,80.66
2021-01-10,66.27
2021-01-11,82.45
2021-01-12,84.25
2021-01-13,89.94
2021-01-14,87.25
2021-01-15,78.42
2021-01-16,67.72
2021-01-17,64.51
2021-01-18,82.08
2021-01-19,76.47
2021-01-20,51.66
2021-01-21,41.64
2021-01-22,41.97
2021-01-23,27.5
2021-01-24,28.73
2021-01-25,59.42
2021-01-26,65.98
2021-01-27,59.77
2021-01-28,55.39
2021-01-29,47.39
2021-01-30,4.19
2021-01-31,1.42
2021-02-01,11.9
2021-02-02,26.34
2021-02-03,36.26
2021-02-04,52.2
2021-02-05,50.99
2021-02-06,36.02
2021-02-07,12.58
2021-02-08,8.3
2021-02-09,7.1
2021-02-10,26.26
2021-02-11,48.0
2021-02-12,36.94
2021-02-13,36.9
2021-02-14,13.38
2021-02-15,14.85
2021-02-16,23.98
2021-02-17,41.93
2021-02-18,36.18
2021-02-19,22.27
2021-02-20,2.19
2021-02-21,5.67
2021-02-22,39.39
2021-02-23,43.65
2021-02-24,24.82
2021-02-25,45.83
2021-02-26,46.09
2021-02-27,29.24
2021-02-28,18.53
2021-03-01,42.24
2021-03-02,52.67
2021-03-03,53.24
2021-03-04,55.43
2021-03-05,52.45
2021-03-06,45.07
2021-03-07,47.05
2021-03-08,54.43
2021-03-09,56.88
2021-03-10,55.87
2021-03-11,40.76
2021-03-12,40.16
2021-03-13,27.75
2021-03-14,24.54
2021-03-15,47.59
2021-03-16,34.51
2021-03-17,17.35
2021-03-18,32.77
2021-03-19,29.66
2021-03-20,22.19
2021-03-21,30.28
2021-03-22,55.79
2021-03-23,64.47
2021-03-24,64.82
2021-03-25,66.35
2021-03-26,60.31
2021-03-27,41.11
2021-03-28,38.6
2021-03-29,45.69
2021-03-30,53.53
2021-03-31,55.16
2021-04-01,52.12
2021-04-02,51.0
2021-04-03,35.18
2021-04-04,27.74
2021-04-05,44.55
2021-04-06,55.97
2021-04-07,66.11
2021-04-08,69.78
2021-04-09,71.87
2021-04-10,65.01
2021-04-11,52.01
2021-04-12,63.04
2021-04-13,75.5
2021-04-14,73.96
2021-04-15,68.19
2021-04-16,68.93
2021-04-17,64.19
2021-04-18,64.54
2021-04-19,79.03
2021-04-20,78.58
2021-04-21,79.6
2021-04-22,74.41
2021-04-23,68.56
2021-04-24,57.31
2021-04-25,61.09
2021-04-26,75.99
2021-04-27,77.95
2021-04-28,74.4
2021-04-29,74.67
2021-04-30,79.29
2021-05-01,59.36
2021-05-02,61.39
2021-05-03,73.54
2021-05-04,81.27
2021-05-05,75.71
2021-05-06,73.11
2021-05-07,73.5
2021-05-08,47.25
2021-05-09,10.53
2021-05-10,59.26
2021-05-11,54.05
2021-05-12,53.04
2021-05-13,59.8
2021-05-14,71.53
2021-05-15,43.16
2021-05-16,26.65
2021-05-17,76.82
2021-05-18,77.65
2021-05-19,77.11
2021-05-20,79.79
2021-05-21,69.54
2021-05-22,66.41
2021-05-23,68.67
2021-05-24,67.4
2021-05-25,76.64
2021-05-26,80.72
2021-05-27,86.23
2021-05-28,88.95
2021-05-29,81.77
2021-05-30,71.93
2021-05-31,88.08
2021-06-01,86.56
2021-06-02,84.85
2021-06-03,79.8
2021-06-04,80.59
2021-06-05,76.17
2021-06-06,68.87
2021-06-07,79.69
2021-06-08,82.33
2021-06-09,81.6
2021-06-10,83.34
2021-06-11,82.53
2021-06-12,77.6
2021-06-13,79.2
2021-06-14,88.47
2021-06-15,90.95
2021-06-16,94.63
2021-06-17,93.0
2021-06-18,92.67
2021-06-19,87.22
2021-06-20,52.63
2021-06-21,82.55
2021-06-22,89.53
2021-06-23,89.88
2021-06-24,85.73
2021-06-25,86.57
2021-06-26,83.99
2021-06-27,64.21
2021-06-28,86.44
2021-06-29,93.49
2021-06-30,93.89
2021-07-01,92.44
2021-07-02,99.8
2021-07-03,94.23
2021-07-04,79.43
2021-07-05,93.85
2021-07-06,93.57
2021-07-07,98.72
2021-07-08,93.67
2021-07-09,93.5
2021-07-10,90.48
2021-07-11,90.77
2021-07-12,86.68
2021-07-13,94.39
2021-07-14,84.46
2021-07-15,87.18
2021-07-16,87.32
2021-07-17,90.95
2021-07-18,74.19
2021-07-19,98.8
2021-07-20,101.82
2021-07-21,106.57
2021-07-22,101.52
2021-07-23,95.89
2021-07-24,92.02
2021-07-25,93.2
2021-07-26,99.52
2021-07-27,99.05
2021-07-28,95.57
2021-07-29,98.83
2021-07-30,95.37
2021-07-31,61.09
2021-08-01,76.89
2021-08-02,103.07
2021-08-03,106.27
2021-08-04,105.24
2021-08-05,101.6
2021-08-06,97.22
2021-08-07,65.64
2021-08-08,85.29
2021-08-09,106.74
2021-08-10,111.88
2021-08-11,113.99
2021-08-12,115.83
2021-08-13,117.29
2021-08-14,114.63
2021-08-15,110.02
2021-08-16,88.92
2021-08-17,89.5
2021-08-18,105.4
2021-08-19,113.4
2021-08-20,117.14
2021-08-21,110.14
2021-08-22,100.51
2021-08-23,99.76
2021-08-24,102.06
2021-08-25,116.73
2021-08-26,122.76
2021-08-27,118.99
2021-08-28,110.22
2021-08-29,102.03
2021-08-30,124.45
2021-08-31,130.53
2021-09-01,132.47
2021-09-02,140.23
2021-09-03,137.7
2021-09-04,134.89
2021-09-05,128.7
2021-09-06,132.65
2021-09-07,127.36
2021-09-08,135.65
2021-09-09,141.71
2021-09-10,152.32
2021-09-11,150.78
2021-09-12,144.18
2021-09-13,154.16
2021-09-14,153.43
2021-09-15,172.78
2021-09-16,188.18
2021-09-17,166.29
2021-09-18,159.37
2021-09-19,146.57
2021-09-20,156.75
2021-09-21,150.26
2021-09-22,175.87
2021-09-23,165.19
