Personaje,Aporte
`Alan Cooper <https://es.wikipedia.org/wiki/Alan_Cooper>`_,Desarrollador de **Visual Basic**
`Alan Kay <https://es.wikipedia.org/wiki/Alan_Kay>`_,"Pionero en programación orientada a objetos. Creador de **Smalltalk**"
`Anders Hejlsberg <https://es.wikipedia.org/wiki/Anders_Hejlsberg>`_,"Desarrollador de **Turbo Pascal**, **Delphi** y **C#**"
`Bertrand Meyer <https://es.wikipedia.org/wiki/Bertrand_Meyer>`_,Inventor de **Eiffel**
`Bill Joy <https://es.wikipedia.org/wiki/Bill_Joy>`_,"Inventor de **vi**. Autor de **BSD Unix**. Creador de **SunOS**, el cual se convirtió en **Solaris**"
`Bjarne Stroustrup <https://es.wikipedia.org/wiki/Bjarne_Stroustrup>`_,Desarrollador de **C++**
`Brian Kernighan <https://es.wikipedia.org/wiki/Brian_Kernighan>`_,"Coautor del primer libro de programación en lenguaje **C** con Dennis Ritchie y coautor de los lenguajes de programación **AWK** y **AMPL**"
`Dennis Ritchie <https://es.wikipedia.org/wiki/Dennis_Ritchie>`_,Inventor de C. Sistema Operativo **Unix**
`Edsger W. Dijkstra <https://es.wikipedia.org/wiki/Edsger_Dijkstra>`_,Desarrolló las bases para la programación estructurada
`Grace Hopper <https://es.wikipedia.org/wiki/Grace_Murray_Hopper>`__,"Desarrolladora de **Flow-Matic**, influenciando el lenguaje **COBOL**"
`Guido van Rossum <https://es.wikipedia.org/wiki/Guido_van_Rossum>`_,Creador de **Python**
`James Gosling <https://es.wikipedia.org/wiki/James_Gosling>`_,"Desarrollador de **Oak**. Precursor de **Java**"
`Joe Armstrong <https://es.wikipedia.org/wiki/Joe_Armstrong>`_,Creador de **Erlang**
`John Backus <https://es.wikipedia.org/wiki/John_Backus>`_,Inventor de **Fortran**
`John McCarthy <https://es.wikipedia.org/wiki/John_McCarthy>`_,Inventor de **LISP**
`John von Neumann <https://es.wikipedia.org/wiki/John_von_Neumann>`__,Creador del concepto de sistema operativo
`Ken Thompson <https://es.wikipedia.org/wiki/Ken_Thompson>`_,"Inventor de B. Desarrollador de **Go**. Coautor del sistema operativo Unix"
`Kenneth E. Iverson <https://es.wikipedia.org/wiki/Kenneth_Iverson>`_,"Desarrollador de **APL**. Co-desarrollador de **J** junto a Roger Hui"
`Larry Wall <https://es.wikipedia.org/wiki/Larry_Wall>`_,Creador de **Perl** y Perl 6
`Martin Odersky <https://en.wikipedia.org/wiki/Martin_Odersky>`_,"Creador de **Scala**. Previamente contribuyó en el diseño de Java"
`Mitchel Resnick <https://es.wikipedia.org/wiki/Mitchel_Resnick>`_,Creador del lenguaje visual **Scratch**
`Nathaniel Rochester <https://en.wikipedia.org/wiki/Nathaniel_Rochester_(computer_scientist)>`_,Inventor del primer lenguaje en **ensamblador** simbólico (IBM 701)
`Niklaus Wirth <https://es.wikipedia.org/wiki/Niklaus_Wirth>`_,"Inventor de **Pascal**, **Modula** y **Oberon**"
`Robin Milner <https://es.wikipedia.org/wiki/Robin_Milner>`_,"Inventor de **ML**. Compartió crédito en el método Hindley–Milner de inferencia de tipo polimórfica"
`Seymour Papert <https://es.wikipedia.org/wiki/Seymour_Papert>`_,"Pionero de la inteligencia artificial. Inventor del lenguaje de programación **Logo** en 1968"
`Stephen Wolfram <https://es.wikipedia.org/wiki/Stephen_Wolfram>`_,Creador de **Mathematica**
`Yukihiro Matsumoto <https://es.wikipedia.org/wiki/Yukihiro_Matsumoto>`_,Creador de **Ruby**
