Señorita,Shawn Mendes,canadian pop,117,55,76,191
China,Anuel AA,reggaeton flow,105,81,79,302
boyfriend (with Social House),Ariana Grande,dance pop,190,80,40,186
Beautiful People (feat. Khalid),Ed Sheeran,pop,93,65,64,198
Goodbyes (Feat. Young Thug),Post Malone,dfw rap,150,65,58,175
I Don't Care (with Justin Bieber),Ed Sheeran,pop,102,68,80,220
Ransom,Lil Tecca,trap music,180,64,75,131
How Do You Sleep?,Sam Smith,pop,111,68,48,202
Old Town Road - Remix,Lil Nas X,country rap,136,62,88,157
bad guy,Billie Eilish,electropop,135,43,70,194
Callaita,Bad Bunny,reggaeton,176,62,61,251
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,96,71,82,185
Someone You Loved,Lewis Capaldi,pop,110,41,50,182
Otro Trago - Remix,Sech,panamanian pop,176,79,73,288
Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,101,50,83,205
No Guidance (feat. Drake),Chris Brown,dance pop,93,45,70,261
LA CANCIÓN,J Balvin,latin,176,65,75,243
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,90,48,76,158
Lalala,Y2K,canadian hip hop,130,39,84,161
Truth Hurts,Lizzo,escape room,158,62,72,173
Piece Of Your Heart,MEDUZA,pop house,124,74,68,153
Panini,Lil Nas X,country rap,154,59,70,115
No Me Conoce - Remix,Jhay Cortez,reggaeton flow,92,79,81,309
Soltera - Remix,Lunay,latin,92,78,80,266
bad guy (with Justin Bieber),Billie Eilish,electropop,135,45,67,195
If I Can't Have You,Shawn Mendes,canadian pop,124,82,69,191
Dance Monkey,Tones and I,australian pop,98,59,82,210
It's You,Ali Gatie,canadian hip hop,96,46,73,213
Con Calma,Daddy Yankee,latin,94,86,74,193
QUE PRETENDES,J Balvin,latin,93,79,64,222
Takeaway,The Chainsmokers,edm,85,51,29,210
7 rings,Ariana Grande,dance pop,140,32,78,179
Chantaje,Maluma,reggaeton,96,71,78,176
The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,98,59,80,200
Never Really Over,Katy Perry,dance pop,100,88,77,224
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room,114,72,66,164
Otro Trago,Sech,panamanian pop,176,70,75,226
Antisocial (with Travis Scott),Ed Sheeran,pop,152,82,72,162
Sucker,Jonas Brothers,boy band,138,73,84,181
Fuck I'm lonely (with Anne-Marie),Lauv,dance pop,95,56,81,199
Higher Love,Kygo,edm,104,68,69,228
You Need To Calm Down,Taylor Swift,dance pop,85,68,77,171
Shallow,Lady Gaga,dance pop,96,39,57,216
Talk,Khalid,pop,136,40,90,198
Con Altura,ROSALÍA,r&b en espanol,98,69,88,162
One Thing Right,Marshmello,brostep,88,62,66,182
Te Robaré,Nicky Jam,latin,176,75,67,202
Happier,Marshmello,brostep,100,79,69,214
Call You Mine,The Chainsmokers,edm,104,70,59,218
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,95,79,75,206
