Señorita,Shawn Mendes,canadian pop,112,45,61,196
China,Anuel AA,reggaeton flow,100,71,64,307
boyfriend (with Social House),Ariana Grande,dance pop,185,70,25,191
Beautiful People (feat. Khalid),Ed Sheeran,pop,88,55,49,203
Goodbyes (Feat. Young Thug),Post Malone,dfw rap,145,55,43,180
I Don't Care (with Justin Bieber),Ed Sheeran,pop,97,58,65,225
Ransom,Lil Tecca,trap music,175,54,60,136
How Do You Sleep?,Sam Smith,pop,106,58,33,207
Old Town Road - Remix,Lil Nas X,country rap,131,52,73,162
bad guy,Billie Eilish,electropop,130,33,55,199
Callaita,Bad Bunny,reggaeton,171,52,46,256
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,91,61,67,190
Someone You Loved,Lewis Capaldi,pop,105,31,35,187
Otro Trago - Remix,Sech,panamanian pop,171,69,58,293
Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,96,40,68,210
No Guidance (feat. Drake),Chris Brown,dance pop,88,35,55,266
LA CANCIÓN,J Balvin,latin,171,55,60,248
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,85,38,61,163
Lalala,Y2K,canadian hip hop,125,29,69,166
Truth Hurts,Lizzo,escape room,153,52,57,178
Piece Of Your Heart,MEDUZA,pop house,119,64,53,158
Panini,Lil Nas X,country rap,149,49,55,120
No Me Conoce - Remix,Jhay Cortez,reggaeton flow,87,69,66,314
Soltera - Remix,Lunay,latin,87,68,65,271
bad guy (with Justin Bieber),Billie Eilish,electropop,130,35,52,200
If I Can't Have You,Shawn Mendes,canadian pop,119,72,54,196
Dance Monkey,Tones and I,australian pop,93,49,67,215
It's You,Ali Gatie,canadian hip hop,91,36,58,218
Con Calma,Daddy Yankee,latin,89,76,59,198
QUE PRETENDES,J Balvin,latin,88,69,49,227
Takeaway,The Chainsmokers,edm,80,41,14,215
7 rings,Ariana Grande,dance pop,135,22,63,184
Chantaje,Maluma,reggaeton,91,61,63,181
The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,93,49,65,205
Never Really Over,Katy Perry,dance pop,95,78,62,229
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room,109,62,51,169
Otro Trago,Sech,panamanian pop,171,60,60,231
Antisocial (with Travis Scott),Ed Sheeran,pop,147,72,57,167
Sucker,Jonas Brothers,boy band,133,63,69,186
Fuck I'm lonely (with Anne-Marie),Lauv,dance pop,90,46,66,204
Higher Love,Kygo,edm,99,58,54,233
You Need To Calm Down,Taylor Swift,dance pop,80,58,62,176
Shallow,Lady Gaga,dance pop,91,29,42,221
Talk,Khalid,pop,131,30,75,203
Con Altura,ROSALÍA,r&b en espanol,93,59,73,167
One Thing Right,Marshmello,brostep,83,52,51,187
Te Robaré,Nicky Jam,latin,171,65,52,207
Happier,Marshmello,brostep,95,69,54,219
Call You Mine,The Chainsmokers,edm,99,60,44,223
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,90,69,60,211
