año,mes,nación,5 estrellas,4 estrellas,3 estrellas,1 y 2 estrellas,hoteles,extrahoteleros,total
2006,1,España,3031,9561,1840,21,14453,1750,16203
2006,1,Holanda,235,2215,943,46,3439,2346,5785
2006,1,Bélgica,723,3421,836,15,4995,895,5890
2006,1,Alemania,1344,13711,4467,53,19575,4387,23962
2006,1,Francia,191,1162,282,79,1714,1195,2909
2006,1,Gran Bretaña,4025,17402,7114,636,29177,27398,56575
2006,1,Irlanda,85,105,1,5,196,629,825
2006,1,Italia,164,5550,495,5,6214,1471,7685
2006,1,Suecia,120,2882,637,0,3639,4494,8133
2006,1,Noruega,115,604,783,1,1503,1793,3296
2006,1,Dinamarca,52,860,1057,977,2946,2534,5480
2006,1,Finlandia,64,628,479,18,1189,3758,4947
2006,1,Suiza,154,385,100,10,649,155,804
2006,1,Austria,80,674,100,5,859,248,1107
2006,1,Rusia,276,810,267,56,1409,1659,3068
2006,1,Países del Este,328,499,257,8,1092,944,2036
2006,1,Resto de Europa,139,611,742,8,1500,960,2460
2006,1,Estados Unidos,71,62,13,5,151,228,379
2006,1,Resto de América,45,40,26,10,121,18,139
2006,1,Resto del Mundo,307,452,94,0,853,132,985
2006,2,España,2772,8558,2123,44,13497,2742,16239
2006,2,Holanda,538,2123,914,0,3575,2705,6280
2006,2,Bélgica,780,3373,552,30,4735,798,5533
2006,2,Alemania,2400,13243,4339,56,20038,4092,24130
2006,2,Francia,428,1285,395,91,2199,2021,4220
2006,2,Gran Bretaña,5127,17149,6544,616,29436,29969,59405
2006,2,Irlanda,236,99,49,0,384,594,978
2006,2,Italia,243,3635,380,3,4261,1128,5389
2006,2,Suecia,177,2150,538,0,2865,3141,6006
2006,2,Noruega,128,706,716,5,1555,1592,3147
2006,2,Dinamarca,106,1024,1331,841,3302,2280,5582
2006,2,Finlandia,54,736,435,0,1225,3573,4798
2006,2,Suiza,97,299,75,8,479,132,611
2006,2,Austria,225,581,86,8,900,299,1199
2006,2,Rusia,106,417,278,25,826,1090,1916
2006,2,Países del Este,259,303,202,10,774,800,1574
2006,2,Resto de Europa,127,533,656,5,1321,657,1978
2006,2,Estados Unidos,49,76,12,0,137,663,800
2006,2,Resto de América,31,63,3,10,107,67,174
2006,2,Resto del Mundo,494,69,126,0,689,97,786
2006,3,España,3408,11024,1850,41,16323,2431,18754
2006,3,Holanda,474,2406,719,0,3599,2353,5952
2006,3,Bélgica,832,3399,485,23,4739,794,5533
2006,3,Alemania,2689,15872,4597,81,23239,4080,27319
2006,3,Francia,377,1096,471,36,1980,1501,3481
2006,3,Gran Bretaña,5029,19632,7412,707,32780,37048,69828
2006,3,Irlanda,181,81,18,0,280,633,913
2006,3,Italia,197,2964,331,5,3497,774,4271
2006,3,Suecia,141,2893,584,0,3618,3201,6819
2006,3,Noruega,69,577,478,0,1124,1729,2853
2006,3,Dinamarca,141,1022,1114,806,3083,2525,5608
2006,3,Finlandia,46,820,564,5,1435,3698,5133
2006,3,Suiza,171,443,90,10,714,85,799
2006,3,Austria,86,607,99,0,792,223,1015
2006,3,Rusia,175,855,187,38,1255,1671,2926
2006,3,Países del Este,279,443,179,28,929,832,1761
2006,3,Resto de Europa,113,770,1050,0,1933,756,2689
2006,3,Estados Unidos,332,137,22,0,491,125,616
2006,3,Resto de América,424,47,22,5,498,42,540
2006,3,Resto del Mundo,570,128,139,0,837,102,939
2006,4,España,4745,18608,6577,81,30011,9132,39143
2006,4,Holanda,371,2519,676,8,3574,2403,5977
2006,4,Bélgica,832,4720,314,0,5866,900,6766
2006,4,Alemania,2898,15978,5036,19,23931,5309,29240
2006,4,Francia,292,1984,729,81,3086,1874,4960
2006,4,Gran Bretaña,4620,18089,5529,424,28662,31848,60510
2006,4,Irlanda,145,111,52,0,308,734,1042
2006,4,Italia,498,2276,315,18,3107,603,3710
2006,4,Suecia,109,1753,391,3,2256,1596,3852
2006,4,Noruega,116,420,347,8,891,565,1456
2006,4,Dinamarca,71,790,766,806,2433,1046,3479
2006,4,Finlandia,26,440,263,0,729,1069,1798
2006,4,Suiza,126,315,292,0,733,200,933
2006,4,Austria,163,766,127,0,1056,304,1360
2006,4,Rusia,667,1328,226,48,2269,1604,3873
2006,4,Países del Este,388,382,140,8,918,635,1553
2006,4,Resto de Europa,272,1050,703,5,2030,760,2790
2006,4,Estados Unidos,101,340,50,5,496,119,615
2006,4,Resto de América,28,145,59,13,245,47,292
2006,4,Resto del Mundo,384,84,125,3,596,97,693
2006,5,España,3498,16768,4758,70,25094,4503,29597
2006,5,Holanda,407,2823,623,8,3861,2458,6319
2006,5,Bélgica,541,2788,202,0,3531,455,3986
2006,5,Alemania,1275,11612,3251,21,16159,3123,19282
2006,5,Francia,232,1081,993,13,2319,616,2935
2006,5,Gran Bretaña,4494,16664,5736,496,27390,27178,54568
2006,5,Irlanda,192,34,32,0,258,1056,1314
2006,5,Italia,235,2640,458,1,3334,302,3636
2006,5,Suecia,1,4,8,1,14,53,67
2006,5,Noruega,5,2,15,0,22,4,26
2006,5,Dinamarca,35,6,7,693,741,76,817
2006,5,Finlandia,13,126,117,0,256,23,279
2006,5,Suiza,168,342,166,0,676,121,797
2006,5,Austria,92,623,12,0,727,198,925
2006,5,Rusia,390,943,384,20,1737,1647,3384
2006,5,Países del Este,250,382,99,10,741,767,1508
2006,5,Resto de Europa,161,985,289,0,1435,247,1682
2006,5,Estados Unidos,124,134,21,12,291,83,374
2006,5,Resto de América,63,42,52,0,157,76,233
2006,5,Resto del Mundo,284,145,19,3,451,138,589
2006,6,España,4623,18291,5710,65,28689,5854,34543
2006,6,Holanda,354,1997,386,0,2737,1776,4513
2006,6,Bélgica,467,2966,212,13,3658,587,4245
2006,6,Alemania,1509,13102,3298,11,17920,3521,21441
2006,6,Francia,218,809,348,13,1388,440,1828
2006,6,Gran Bretaña,3595,17884,6617,605,28701,35242,63943
2006,6,Irlanda,103,54,54,8,219,1262,1481
2006,6,Italia,90,2439,342,3,2874,741,3615
2006,6,Suecia,20,9,3,0,32,71,103
2006,6,Noruega,11,2,3,1,17,28,45
2006,6,Dinamarca,9,2,0,569,580,87,667
2006,6,Finlandia,5,128,71,15,219,98,317
2006,6,Suiza,149,346,151,0,646,139,785
2006,6,Austria,120,688,10,0,818,214,1032
2006,6,Rusia,461,1172,147,51,1831,2428,4259
2006,6,Países del Este,274,791,219,15,1299,1981,3280
2006,6,Resto de Europa,204,1624,591,0,2419,324,2743
2006,6,Estados Unidos,86,130,105,0,321,220,541
2006,6,Resto de América,45,41,38,0,124,51,175
2006,6,Resto del Mundo,548,409,14,0,971,515,1486
2006,7,España,6054,22294,5987,93,34428,11268,45696
2006,7,Holanda,349,2776,1343,15,4483,3518,8001
2006,7,Bélgica,461,5178,322,13,5974,1064,7038
2006,7,Alemania,996,9647,5271,19,15933,4012,19945
2006,7,Francia,216,957,248,9,1430,1630,3060
2006,7,Gran Bretaña,3487,16862,5668,526,26543,32658,59201
