año,mes,nacion,5 estrellas,4 estrellas,3 estrellas,1 y 2 estrellas,hoteleros,extrahoteleros,total
2006,1,España,1707,3003,906,363,5979,2614,8593
2006,1,Holanda,44,832,502,20,1398,3351,4749
2006,1,Bélgica,290,2123,348,31,2792,917,3709
2006,1,Alemania,949,3512,1889,169,6519,2616,9135
2006,1,Francia,106,310,541,371,1328,683,2011
2006,1,Gran Bretaña,2316,10987,6908,197,20408,33540,53948
2006,1,Irlanda,9,196,45,7,257,856,1113
2006,1,Italia,630,2491,1048,39,4208,991,5199
2006,1,Suecia,157,846,985,24,2012,8618,10630
2006,1,Noruega,21,324,356,53,754,6069,6823
2006,1,Dinamarca,28,346,1333,13,1720,6921,8641
2006,1,Finlandia,368,700,1227,85,2380,7428,9808
2006,1,Suiza,58,129,56,28,271,501,772
2006,1,Austria,16,356,33,19,424,439,863
2006,1,Rusia,276,563,21,1,861,404,1265
2006,1,Países del Este,77,434,13,5,529,378,907
2006,1,Resto de Europa,218,140,198,5,561,382,943
2006,1,Estados Unidos,32,46,9,7,94,137,231
2006,1,Resto de América,2,27,26,45,100,109,209
2006,1,Resto del Mundo,2,60,34,14,110,115,225
2006,2,España,1562,3116,799,338,5815,3193,9008
2006,2,Holanda,40,707,465,64,1276,3814,5090
2006,2,Bélgica,395,1474,351,30,2250,1000,3250
2006,2,Alemania,597,3408,1781,154,5940,2151,8091
2006,2,Francia,144,516,715,663,2038,985,3023
2006,2,Gran Bretaña,2011,10335,6517,125,18988,31555,50543
2006,2,Irlanda,19,221,56,9,305,884,1189
2006,2,Italia,815,1576,713,56,3160,619,3779
2006,2,Suecia,43,946,821,21,1831,6778,8609
2006,2,Noruega,17,358,382,39,796,4545,5341
2006,2,Dinamarca,40,429,943,15,1427,6449,7876
2006,2,Finlandia,329,642,1208,36,2215,6508,8723
2006,2,Suiza,100,161,82,14,357,307,664
2006,2,Austria,14,365,32,16,427,471,898
2006,2,Rusia,97,189,8,0,294,284,578
2006,2,Países del Este,15,375,29,10,429,407,836
2006,2,Resto de Europa,27,89,227,17,360,300,660
2006,2,Estados Unidos,124,66,20,5,215,109,324
2006,2,Resto de América,3,50,14,36,103,91,194
2006,2,Resto del Mundo,3,87,66,9,165,48,213
2006,3,España,1900,3111,624,427,6062,2867,8929
2006,3,Holanda,39,1027,684,55,1805,3418,5223
2006,3,Bélgica,297,1596,494,42,2429,1087,3516
2006,3,Alemania,857,4623,1966,180,7626,2601,10227
2006,3,Francia,249,506,895,735,2385,776,3161
2006,3,Gran Bretaña,2930,12019,8052,193,23194,39506,62700
2006,3,Irlanda,6,302,90,28,426,1066,1492
2006,3,Italia,686,1356,506,38,2586,463,3049
2006,3,Suecia,81,970,857,13,1921,6812,8733
2006,3,Noruega,27,444,332,24,827,4892,5719
2006,3,Dinamarca,58,473,837,6,1374,6311,7685
2006,3,Finlandia,273,870,1360,26,2529,6681,9210
2006,3,Suiza,55,283,49,10,397,410,807
2006,3,Austria,10,385,33,13,441,372,813
2006,3,Rusia,165,258,20,3,446,561,1007
2006,3,Países del Este,57,520,52,26,655,250,905
2006,3,Resto de Europa,10,186,234,18,448,421,869
2006,3,Estados Unidos,35,159,37,1,232,91,323
2006,3,Resto de América,11,22,17,39,89,57,146
2006,3,Resto del Mundo,11,245,17,31,304,125,429
2006,4,España,2868,6858,2852,580,13158,11199,24357
2006,4,Holanda,50,947,522,16,1535,3372,4907
2006,4,Bélgica,244,2202,679,14,3139,842,3981
2006,4,Alemania,926,4827,2098,155,8006,3158,11164
2006,4,Francia,163,700,1166,560,2589,1066,3655
2006,4,Gran Bretaña,2714,11425,6989,150,21278,36241,57519
2006,4,Irlanda,23,281,104,20,428,1327,1755
2006,4,Italia,324,1346,818,32,2520,552,3072
2006,4,Suecia,126,560,739,5,1430,3919,5349
2006,4,Noruega,24,224,168,14,430,1978,2408
2006,4,Dinamarca,21,329,775,0,1125,3145,4270
2006,4,Finlandia,105,315,557,2,979,2400,3379
2006,4,Suiza,38,149,79,41,307,569,876
2006,4,Austria,16,465,30,19,530,431,961
2006,4,Rusia,322,828,35,1,1186,629,1815
2006,4,Países del Este,54,476,133,16,679,478,1157
2006,4,Resto de Europa,72,459,282,29,842,401,1243
2006,4,Estados Unidos,4,119,4,5,132,153,285
2006,4,Resto de América,1,54,13,48,116,108,224
2006,4,Resto del Mundo,9,106,20,30,165,71,236
2006,5,España,2656,3760,2284,374,9074,5027,14101
2006,5,Holanda,34,1156,455,7,1652,3607,5259
2006,5,Bélgica,157,2047,359,9,2572,688,3260
2006,5,Alemania,583,3303,1629,129,5644,1577,7221
2006,5,Francia,156,447,430,286,1319,473,1792
2006,5,Gran Bretaña,2707,13476,7515,72,23770,34573,58343
2006,5,Irlanda,67,201,501,13,782,2705,3487
2006,5,Italia,598,1694,416,27,2735,253,2988
2006,5,Suecia,1,8,18,0,27,119,146
2006,5,Noruega,1,2,0,0,3,54,57
2006,5,Dinamarca,0,9,27,0,36,899,935
2006,5,Finlandia,1,14,6,1,22,384,406
2006,5,Suiza,44,143,122,23,332,324,656
2006,5,Austria,4,286,28,6,324,173,497
2006,5,Rusia,189,499,16,2,706,410,1116
2006,5,Países del Este,12,318,47,3,380,235,615
2006,5,Resto de Europa,28,353,153,14,548,893,1441
2006,5,Estados Unidos,9,70,1,0,80,89,169
2006,5,Resto de América,7,97,11,58,173,111,284
2006,5,Resto del Mundo,16,83,13,15,127,84,211
2006,6,España,3593,4629,2872,356,11450,6155,17605
2006,6,Holanda,24,1066,298,1,1389,3021,4410
2006,6,Bélgica,178,2238,463,7,2886,577,3463
2006,6,Alemania,413,3192,1723,132,5460,1609,7069
2006,6,Francia,69,221,574,242,1106,443,1549
2006,6,Gran Bretaña,1907,13059,8274,188,23428,41343,64771
2006,6,Irlanda,10,196,441,12,659,4015,4674
2006,6,Italia,128,1270,478,28,1904,336,2240
2006,6,Suecia,0,6,13,5,24,183,207
2006,6,Noruega,7,14,0,0,21,333,354
2006,6,Dinamarca,3,12,46,0,61,364,425
2006,6,Finlandia,2,7,0,0,9,420,429
2006,6,Suiza,39,124,80,25,268,325,593
2006,6,Austria,14,369,33,2,418,125,543
2006,6,Rusia,284,473,34,1,792,667,1459
2006,6,Países del Este,36,560,50,3,649,417,1066
2006,6,Resto de Europa,123,874,298,10,1305,1439,2744
2006,6,Estados Unidos,11,47,11,4,73,185,258
2006,6,Resto de América,14,49,14,54,131,148,279
2006,6,Resto del Mundo,10,179,17,19,225,191,416
2006,7,España,4140,7074,3149,548,14911,8988,23899
2006,7,Holanda,61,1092,792,7,1952,5911,7863
