año,mes,nacion,4 y 5 estrellas,3 estrellas,1 y 2 estrellas,hoteleros,extrahoteleros,total
2009,1,España,11379,2932,771,15082,5371,20453
2009,1,Holanda,118,47,9,174,124,298
2009,1,Bélgica,114,17,9,140,92,232
2009,1,Alemania,11347,1772,173,13292,3461,16753
2009,1,Francia,420,99,32,551,84,635
2009,1,Gran Bretaña,3720,422,58,4200,1399,5599
2009,1,Irlanda,88,19,20,127,73,200
2009,1,Italia,135,72,34,241,224,465
2009,1,Suecia,439,280,11,730,1353,2083
2009,1,Noruega,149,150,10,309,917,1226
2009,1,Dinamarca,83,54,12,149,1047,1196
2009,1,Finlandia,431,578,9,1018,4987,6005
2009,1,Suiza,118,47,6,171,95,266
2009,1,Austria,314,117,6,437,240,677
2009,1,Rusia,47,8,4,59,67,126
2009,1,Países del Este,142,56,4,202,46,248
2009,1,Resto de Europa,143,73,15,231,290,521
2009,1,Estados Unidos,23,9,2,34,30,64
2009,1,Resto de América,63,59,9,131,234,365
2009,1,Resto del Mundo,163,30,9,202,96,298
2009,1,TOTAL,29436,6841,1203,37480,20230,57710
2009,2,España,14566,4043,831,19440,5804,25244
2009,2,Holanda,150,99,10,259,166,425
2009,2,Bélgica,55,22,4,81,27,108
2009,2,Alemania,9423,1704,263,11390,3339,14729
2009,2,Francia,680,139,48,867,163,1030
2009,2,Gran Bretaña,3697,578,65,4340,1330,5670
2009,2,Irlanda,82,16,21,119,32,151
2009,2,Italia,169,55,23,247,173,420
2009,2,Suecia,361,334,3,698,1336,2034
2009,2,Noruega,91,112,6,209,825,1034
2009,2,Dinamarca,110,32,7,149,751,900
2009,2,Finlandia,403,518,1,922,4105,5027
2009,2,Suiza,118,49,2,169,100,269
2009,2,Austria,220,102,2,324,100,424
2009,2,Rusia,23,2,0,25,31,56
2009,2,Países del Este,130,59,4,193,56,249
2009,2,Resto de Europa,157,79,3,239,175,414
2009,2,Estados Unidos,52,14,6,72,42,114
2009,2,Resto de América,81,47,9,137,190,327
2009,2,Resto del Mundo,321,23,5,349,144,493
2009,2,TOTAL,30889,8027,1313,40229,18889,59118
2009,3,España,15098,3424,944,19466,9716,29182
2009,3,Holanda,125,37,1,163,105,268
2009,3,Bélgica,37,28,3,68,10,78
2009,3,Alemania,12110,1565,141,13816,3246,17062
2009,3,Francia,704,194,30,928,105,1033
2009,3,Gran Bretaña,3313,520,61,3894,613,4507
2009,3,Irlanda,69,30,15,114,20,134
2009,3,Italia,108,47,15,170,136,306
2009,3,Suecia,470,299,0,769,1308,2077
2009,3,Noruega,114,30,8,152,576,728
2009,3,Dinamarca,114,19,12,145,1018,1163
2009,3,Finlandia,382,557,0,939,5572,6511
2009,3,Suiza,80,50,5,135,56,191
2009,3,Austria,196,98,3,297,97,394
2009,3,Rusia,20,8,8,36,47,83
2009,3,Países del Este,106,63,17,186,110,296
2009,3,Resto de Europa,166,37,74,277,183,460
2009,3,Estados Unidos,28,8,3,39,63,102
2009,3,Resto de América,56,43,0,99,164,263
2009,3,Resto del Mundo,204,38,18,260,91,351
2009,3,TOTAL,33500,7095,1358,41953,23236,65189
2009,4,España,22926,5036,651,28613,15258,43871
2009,4,Holanda,105,27,1,133,107,240
2009,4,Bélgica,77,17,11,105,35,140
2009,4,Alemania,9863,1611,38,11512,2186,13698
2009,4,Francia,1122,251,26,1399,223,1622
2009,4,Gran Bretaña,2799,313,16,3128,954,4082
2009,4,Irlanda,63,22,0,85,57,142
2009,4,Italia,189,70,5,264,145,409
2009,4,Suecia,212,50,2,264,197,461
2009,4,Noruega,55,15,0,70,87,157
2009,4,Dinamarca,55,22,1,78,236,314
2009,4,Finlandia,232,187,2,421,1744,2165
2009,4,Suiza,200,54,4,258,84,342
2009,4,Austria,289,86,0,375,106,481
2009,4,Rusia,73,4,2,79,44,123
2009,4,Países del Este,82,68,1,151,81,232
2009,4,Resto de Europa,474,108,22,604,236,840
2009,4,Estados Unidos,99,21,6,126,82,208
2009,4,Resto de América,131,42,2,175,356,531
2009,4,Resto del Mundo,204,11,0,215,147,362
2009,4,TOTAL,39250,8015,790,48055,22365,70420
2009,5,España,20170,4448,178,24796,15127,39923
2009,5,Holanda,155,43,0,198,108,306
2009,5,Bélgica,120,9,0,129,11,140
2009,5,Alemania,6503,1085,31,7619,1880,9499
2009,5,Francia,702,131,7,840,200,1040
2009,5,Gran Bretaña,1448,199,7,1654,796,2450
2009,5,Irlanda,33,1,26,60,20,80
2009,5,Italia,90,27,2,119,97,216
2009,5,Suecia,12,0,0,12,39,51
2009,5,Noruega,1,8,0,9,6,15
2009,5,Dinamarca,11,4,2,17,12,29
2009,5,Finlandia,15,8,0,23,24,47
2009,5,Suiza,103,28,0,131,32,163
2009,5,Austria,171,73,2,246,103,349
2009,5,Rusia,49,12,0,61,21,82
2009,5,Países del Este,109,63,11,183,94,277
2009,5,Resto de Europa,365,71,0,436,108,544
2009,5,Estados Unidos,87,10,0,97,56,153
2009,5,Resto de América,164,27,5,196,234,430
2009,5,Resto del Mundo,102,25,2,129,196,325
2009,5,TOTAL,30410,6272,273,36955,19164,56119
2009,6,España,23286,5160,102,28548,19239,47787
2009,6,Holanda,97,26,5,128,55,183
2009,6,Bélgica,78,7,0,85,20,105
2009,6,Alemania,5494,809,36,6339,992,7331
2009,6,Francia,512,146,7,665,99,764
2009,6,Gran Bretaña,1504,146,5,1655,746,2401
2009,6,Irlanda,33,5,0,38,59,97
2009,6,Italia,135,37,2,174,170,344
2009,6,Suecia,18,0,0,18,53,71
