año,mes,nacion,4 y 5 estrellas,3 estrellas,2 estrellas,1 estrella,hoteleros,extrahoteleros,total
2009,1,España,4471,2815,2954,606,10846,0,10846
2009,1,Holanda,35,21,34,17,107,0,107
2009,1,Bélgica,41,16,11,3,71,0,71
2009,1,Alemania,71,107,165,72,415,0,415
2009,1,Francia,39,59,35,45,178,0,178
2009,1,Gran Bretaña,73,99,152,31,355,0,355
2009,1,Irlanda,23,6,16,4,49,0,49
2009,1,Italia,31,75,141,47,294,0,294
2009,1,Suecia,8,8,18,1,35,0,35
2009,1,Noruega,11,10,22,3,46,0,46
2009,1,Dinamarca,1,13,21,19,54,0,54
2009,1,Finlandia,1,26,81,7,115,0,115
2009,1,Suiza,6,22,22,11,61,0,61
2009,1,Austria,4,3,24,3,34,0,34
2009,1,Rusia,9,19,35,4,67,0,67
2009,1,Países del Este,22,15,29,9,75,0,75
2009,1,Resto de Europa,21,50,33,24,128,0,128
2009,1,Estados Unidos,22,12,20,1,55,0,55
2009,1,Resto de América,12,82,124,96,314,0,314
2009,1,Resto del Mundo,29,110,99,33,271,0,271
2009,1,TOTAL,4930,3568,4036,1036,13570,0,13570
2009,2,España,4896,3275,3624,908,12703,0,12703
2009,2,Holanda,23,10,22,12,67,0,67
2009,2,Bélgica,4,18,2,13,37,0,37
2009,2,Alemania,74,78,146,64,362,0,362
2009,2,Francia,32,55,85,56,228,0,228
2009,2,Gran Bretaña,64,111,128,19,322,0,322
2009,2,Irlanda,6,18,8,13,45,0,45
2009,2,Italia,17,58,101,47,223,0,223
2009,2,Suecia,3,6,59,0,68,0,68
2009,2,Noruega,6,15,33,0,54,0,54
2009,2,Dinamarca,9,14,42,1,66,0,66
2009,2,Finlandia,3,4,42,1,50,0,50
2009,2,Suiza,7,17,29,11,64,0,64
2009,2,Austria,7,7,14,5,33,0,33
2009,2,Rusia,0,2,19,1,22,0,22
2009,2,Países del Este,8,15,25,21,69,0,69
2009,2,Resto de Europa,13,50,68,16,147,0,147
2009,2,Estados Unidos,33,18,20,5,76,0,76
2009,2,Resto de América,23,69,101,95,288,0,288
2009,2,Resto del Mundo,29,92,92,35,248,0,248
2009,2,TOTAL,5257,3932,4660,1323,15172,0,15172
2009,3,España,4655,3658,3909,712,12934,0,12934
