Period\Unit:,[Argentine peso ],[Australian dollar ],[Bulgarian lev ],[Brazilian real ],[Canadian dollar ],[Swiss franc ],[Chinese yuan renminbi ],[Cypriot pound ],[Czech koruna ],[Danish krone ],[Algerian dinar ],[Estonian kroon ],[UK pound sterling ],[Greek drachma ],[Hong Kong dollar ],[Croatian kuna ],[Hungarian forint ],[Indonesian rupiah ],[Israeli shekel ],[Indian rupee ],[Iceland krona ],[Japanese yen ],[Korean won ],[Lithuanian litas ],[Latvian lats ],[Moroccan dirham ],[Maltese lira ],[Mexican peso ],[Malaysian ringgit ],[Norwegian krone ],[New Zealand dollar ],[Philippine peso ],[Polish zloty ],[Romanian leu ],[Russian rouble ],[Swedish krona ],[Singapore dollar ],[Slovenian tolar ],[Slovak koruna ],[Thai baht ],[Turkish lira ],[New Taiwan dollar ],[US dollar ],[South African rand ]
2021-09-20,,1.6201,1.9558,6.2495,1.5056,1.0883,7.5726,,25.432,7.4359,,,0.85705,,9.1188,7.5055,353.97,16742.86,3.7635,86.2720,152.00,128.18,1393.32,,,,,23.6419,4.9098,10.2430,1.6694,58.845,4.5997,4.9493,86.0700,10.2173,1.5839,,,39.0620,10.1512,,1.1711,17.3301
2021-09-17,,1.6111,1.9558,6.2039,1.4913,1.0931,7.6044,,25.296,7.4360,,,0.85363,,9.1691,7.5092,351.49,16762.90,3.7752,86.5335,151.40,129.61,1386.26,,,,,23.4722,4.9140,10.1208,1.6658,58.819,4.5804,4.9488,85.4338,10.1553,1.5851,,,39.1450,10.1323,,1.1780,17.1891
2021-09-16,,1.6077,1.9558,6.1611,1.4863,1.0886,7.5849,,25.281,7.4360,,,0.85025,,9.1575,7.5041,350.19,16766.34,3.7742,86.4730,151.20,128.67,1380.44,,,,,23.3728,4.8952,10.1293,1.6548,58.715,4.5763,4.9488,85.2347,10.1518,1.5805,,,38.9180,9.9663,,1.1763,17.0544
2021-09-15,,1.6153,1.9558,6.1979,1.5004,1.0845,7.6069,,25.318,7.4361,,,0.85510,,9.2021,7.4838,348.86,16826.33,3.7881,86.8625,151.20,129.11,1380.77,,,,,23.4927,4.9170,10.1418,1.6666,58.742,4.5501,4.9485,85.9738,10.1360,1.5860,,,38.8650,9.9769,,1.1824,16.8973
2021-09-14,,1.6114,1.9558,6.1788,1.4951,1.0887,7.6168,,25.389,7.4361,,,0.85260,,9.1899,7.4760,350.05,16857.27,3.7968,87.0370,151.20,130.08,1382.66,,,,,23.5067,4.9170,10.1745,1.6625,58.868,4.5542,4.9485,86.1062,10.1453,1.5870,,,38.9270,9.9848,,1.1814,16.8097
2021-09-13,,1.6015,1.9558,6.1563,1.4931,1.0873,7.6059,,25.348,7.4362,,,0.85120,,9.1641,7.4775,349.58,16787.94,3.7795,86.8440,151.40,129.62,1383.74,,,,,23.4010,4.8893,10.1885,1.6575,58.819,4.5518,4.9453,85.8875,10.1853,1.5821,,,38.7620,9.9468,,1.1780,16.7103
2021-09-10,,1.5986,1.9558,6.1436,1.4919,1.0854,7.6228,,25.288,7.4362,,,0.85260,,9.2086,7.4861,349.88,16812.55,3.7871,86.9469,151.40,130.03,1380.55,,,,,23.5404,4.8998,10.2028,1.6554,59.045,4.5417,4.9413,86.1085,10.1843,1.5847,,,38.6550,9.9558,,1.1841,16.6627
2021-09-09,,1.6035,1.9558,6.2670,1.5002,1.0861,7.6402,,25.398,7.4362,,,0.85555,,9.2072,7.4859,350.88,16858.46,3.7926,87.0705,150.80,130.10,1382.73,,,,,23.5363,4.9123,10.2648,1.6617,59.085,4.5335,4.9466,86.2760,10.1863,1.5901,,,38.6870,10.0272,,1.1838,16.7458
2021-09-08,,1.6027,1.9558,6.1718,1.4982,1.0888,7.6376,,25.394,7.4360,,,0.85873,,9.1971,7.4790,350.14,16871.10,3.7936,87.0105,150.60,130.31,1377.95,,,,,23.5314,4.9135,10.2650,1.6633,59.282,4.5178,4.9495,86.6260,10.1740,1.5909,,,38.7100,9.9891,,1.1827,16.8839
2021-09-07,,1.6044,1.9558,6.1323,1.4936,1.0853,7.6670,,25.423,7.4362,,,0.86115,,9.2197,7.4790,348.59,16911.96,3.8018,87.1355,150.80,130.51,1380.15,,,,,23.6659,4.9284,10.2990,1.6667,59.566,4.5180,4.9506,86.9200,10.1515,1.5956,,,38.6400,9.8735,,1.1860,16.9774
