Company	Revenue	Employees	City	Country	Founded
Apple	274515	147000	California	United States	1/4/1976
Samsung Electronics	200734	267937	Suwon	South Korea	13/1/1969
Alphabet	182527	135301	California	United States	4/9/1998
Foxconn	181945	878429	New Taipei City	Taiwan	20/2/1974
Microsoft	143015	163000	Washington	United States	4/4/1975
Huawei	129184	197000	Shenzhen	China	15/9/1987
Dell Technologies	92224	158000	Texas	United States	1/2/1984
Facebook	85965	58604	California	United States	4/2/2004
Sony	84893	109700	Tokyo	Japan	7/5/1946
Hitachi	82345	350864	Tokyo	Japan	1/10/1962
Intel	77867	110600	California	United States	18/7/1968
IBM	73620	364800	New York	United States	16/6/1911
Tencent	69864	85858	Shenzhen	China	11/11/1998
Panasonic	63191	243540	Osaka	Japan	13/3/1918
Lenovo	60742	71500	Hong Kong	China	1/11/1984
HP Inc.	56639	53000	California	United States	1/1/1939
LG Electronics	53625	75000	Seoul	South Korea	5/1/1947
