,ID,Jan 2021,Jan 2020,Programming Language,Ratings,Annual Change
0,1,1,2,C,17.38%,+1.61%
1,2,2,1,Java,11.96%,-4.93%
2,3,3,3,Python,11.72%,+2.01%
3,4,4,4,C++,7.56%,+1.99%
4,5,5,5,C#,3.95%,-1.40%
5,6,6,6,Visual Basic,3.84%,-1.44%
6,7,7,7,JavaScript,2.20%,-0.25%
7,8,8,8,PHP,1.99%,-0.41%
8,9,9,18,R,1.90%,+1.10%
9,10,10,23,Groovy,1.84%,+1.23%
10,11,11,15,Assembly language,1.64%,+0.76%
11,12,12,10,SQL,1.61%,+0.10%
12,13,13,9,Swift,1.43%,-0.36%
13,14,14,14,Go,1.41%,+0.51%
14,15,15,11,Ruby,1.30%,+0.24%
15,16,16,20,MATLAB,1.15%,+0.41%
16,17,17,19,Perl,1.02%,+0.27%
17,18,18,13,Objective-C,1.00%,+0.07%
18,19,19,12,Delphi/Object Pascal,0.79%,-0.20%
19,20,20,16,Classic Visual Basic,0.79%,-0.04%
